,Client,Age,Tenure,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,VolumeCred,TransactionsCred,VolumeDeb,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Sex_F,Sex_M,Sale_MF,Sale_MF_probability
0,1217,-0.15187896772486442,0.8472678820743177,-0.27626605075640875,-0.4786572013133075,-0.1635902582244287,-0.6212021540389026,-0.34757066781809526,-0.29928301559310005,3.2749171884845127,-0.34139339689038806,-0.21420997400036543,-0.23464467521312996,-0.20685257788288558,-0.22623295499723264,-0.9088436739461968,-0.7691816807432792,-0.20514428286293515,-0.6648248642232022,-0.5877011335450648,0.9066735955547872,-0.9802290155604082,-0.7020957698564898,-0.6631513181918945,-0.679949695176566,0,1,0,0.3076902
1,1038,-0.6396441140720254,-0.04154025655525391,-0.27626605075640875,-0.4786572013133075,-0.1635902582244287,-0.6212021540389026,-0.34757066781809526,-0.29928301559310005,-0.6412897564209757,-0.34139339689038806,-0.21420997400036543,-0.23464467521312996,-0.20685257788288558,-0.22623295499723264,-0.9088399105792265,-0.7691816807432792,-0.8972983175100017,-0.6648248642232022,-0.5877011335450648,-0.7276517281352527,-1.0460505859659524,-0.7020957698564898,-0.6631513181918945,-0.8968581939243913,0,1,1,0.7900616
2,1219,-0.42285960458439825,-1.3521556474158085,-0.27626605075640875,-0.4786572013133075,-0.1635902582244287,-0.6212021540389026,-0.34757066781809526,-0.29928301559310005,2.3501747232891472,-0.34139339689038806,-0.21420997400036543,-0.23464467521312996,-0.20685257788288558,-0.22623295499723264,-0.5761291898384084,-0.6009389293560787,-0.5402229725759266,-0.4466348911704888,-0.4890361925821388,-0.16405464026074243,-0.190370170693879,-0.06486754395413223,-0.26668495731583347,0.18768429981473495,0,1,0,0.43439123
3,461,-1.2899976425349067,-0.6742511349017286,-0.27626605075640875,1.4709953015969939,-0.1635902582244287,-0.6212021540389026,-0.34757066781809526,-0.29928301559310005,-0.6532260176362225,3.6977713468400197,-0.21420997400036543,-0.23464467521312996,-0.20685257788288558,-0.22623295499723264,0.49350968181462473,-0.09621067519447699,0.6440162426183851,-0.6648248642232022,1.1213895254497157,0.9196664818781228,0.13873768133384148,-0.7020957698564898,-0.26668495731583347,1.7060437910495116,1,0,0,0.4880262
4,1048,1.3114164713166185,-0.5687993218439829,-0.27626605075640875,-0.4786572013133075,-0.1635902582244287,1.6097819260578017,-0.34757066781809526,-0.29928301559310005,0.4560618105020452,-0.34139339689038806,-0.21420997400036543,-0.23464467521312996,-0.20685257788288558,-0.22623295499723264,-0.2102375467686618,-0.6009389293560787,-0.37281859775618703,0.9715999336721477,-0.5877011335450648,-0.7276517281352527,-0.84858587474932,-0.38348165690531105,-0.6631513181918945,-0.8968581939243913,1,0,1,0.56490356
5,191,0.9862397070851778,0.621299711236291,-0.27626605075640875,-0.4786572013133075,-0.1635902582244287,-0.6212021540389026,-0.34757066781809526,-0.29928301559310005,-0.047005409463503414,-0.34139339689038806,-0.21420997400036543,-0.23464467521312996,-0.20685257788288558,-0.22623295499723264,0.047838764464956024,-0.26445342658167753,0.06726989524626666,-0.3157209073388609,-0.16665369276298925,1.079992161806792,0.20455925173938558,1.209588907850583,-0.002374050065126089,-0.0292241989330903,0,1,1,0.63443696
6,689,-0.09768284035295764,0.3652024509531941,-0.27626605075640875,-0.4786572013133075,-0.1635902582244287,-0.6212021540389026,-0.34757066781809526,-0.29928301559310005,-0.42625591220555104,-0.34139339689038806,-0.21420997400036543,-0.23464467521312996,-0.20685257788288558,-0.22623295499723264,0.11752742552459207,-0.4326961779688781,-0.017165629363311685,-0.6648248642232022,-0.5336037984491976,-0.7276517281352527,-0.7169427339382318,-0.7020957698564898,-0.26668495731583347,-0.8968581939243913,1,0,1,0.6776888
7,186,-0.04348671298105086,-1.2467038343580628,-0.27626605075640875,-0.4786572013133075,-0.1635902582244287,1.6097819260578017,-0.34757066781809526,2.9252501201519134,-0.08543711756905953,-0.34139339689038806,-0.21420997400036543,-0.23464467521312996,-0.20685257788288558,6.167599093415702,0.9293356311698896,2.932158849775133,0.929032123159389,0.3497585104719149,-0.22034081958942092,-0.17966244710198234,1.191882807822547,0.5723606819482254,-0.13452950369047978,-0.0292241989330903,0,1,0,0.3336069
8,363,-0.42285960458439825,-0.7495738585144042,-0.27626605075640875,-0.4786572013133075,-0.1635902582244287,-0.6212021540389026,-0.34757066781809526,-0.29928301559310005,3.517605291443252,-0.34139339689038806,-0.21420997400036543,-0.23464467521312996,-0.20685257788288558,-0.22623295499723264,-0.4844214107595958,-0.6009389293560787,-0.44314144767632896,-0.6648248642232022,1.6564426216901151,-0.6867935950430017,-0.6511211635326877,-0.7020957698564898,-0.13452950369047978,-0.679949695176566,0,1,0,0.3143433
9,308,0.227493923878483,0.3953315403982643,-0.27626605075640875,-0.4786572013133075,-0.1635902582244287,-0.6212021540389026,-0.34757066781809526,-0.29928301559310005,-0.4902449120921374,-0.34139339689038806,-0.21420997400036543,-0.23464467521312996,-0.20685257788288558,-0.22623295499723264,-0.7665210039862304,-0.4326961779688781,-0.6062821536426426,-0.17389742485459717,-0.42290130477619786,-0.4903476911354589,-0.2561917410994231,1.209588907850583,-0.5309958645665409,-0.679949695176566,1,0,1,0.5103706
