,Client,ActBal_CC,TransactionsDeb,TransactionsCred,Count_MF,Sex_F,VolumeDeb_CA,ActBal_MF,TransactionsDebCashless_Card,VolumeCred_CA,VolumeDeb_PaymentOrder,ActBal_CL,VolumeCred,Sex_M,TransactionsDeb_CA,VolumeDeb,Predicted_revenue
0,1217,-0.19049600623940308,-0.9467787022042593,-0.7276359118629011,-0.17365097364395896,0,-0.10820334030581412,-0.21611808231326896,-0.6763634142627257,-0.8993027978921884,0.929591223192457,-0.22111331809394075,-0.8705083604730769,1,-1.0183494261420283,-0.19069828696231692,11.283204549706651
1,1038,-0.19049600623940308,-1.01028215174235,-0.7276359118629011,-0.17365097364395896,0,-0.9730167293457558,-0.21611808231326896,-0.6763634142627257,-0.8992985712806026,-0.7004394209031,-0.22111331809394075,-0.8705046576032099,1,-1.0996400189400133,-0.8953846146063703,11.66744554159068
2,1219,-0.19049600623940308,-0.1847373077471725,-0.5660478560656216,-0.17365097364395896,0,-0.5268681500739403,-0.21611808231326896,-0.28751336773537467,-0.5256334469232822,-0.13832335328674714,-0.22111331809394075,-0.5431423482787455,1,-0.042862312566210196,-0.5318439850380796,11.16919058364308
3,461,-0.19049600623940308,0.13277993994328033,-0.08128368867378302,-0.17365097364395896,1,0.952782155870475,-0.21611808231326896,-0.28751336773537467,0.6755465114908772,0.9425499668130165,-0.22111331809394075,0.5093018001631255,0,0.36359065142371405,0.6738373255286942,12.039371723747125
4,1048,-0.19049600623940308,-0.8197718031280782,-0.5660478560656216,-0.17365097364395896,1,-0.31770438380074,-0.21611808231326896,-0.6763634142627257,-0.11470305668957828,-0.7004394209031,-0.22111331809394075,-0.18313250858637503,0,-0.8557682405460587,-0.3614085498340889,12.568632421657522
5,191,-0.19049600623940308,0.1962833894813709,-0.24287174447106255,-0.17365097364395896,0,0.2321651568788863,-0.21611808231326896,-0.0282800033838073,0.17514067517474788,1.1024543429681466,-0.22111331809394075,0.07079515878563561,1,0.4448812442216989,0.0866482820970275,10.931915221352575
6,689,-0.19049600623940308,-0.6927649040518971,-0.40445980026834205,-0.17365097364395896,1,0.1266670039565983,-0.21611808231326896,-0.28751336773537467,0.25340753156928353,-0.7004394209031,-0.22111331809394075,0.1393635564838391,0,-0.6931870549500889,0.0006839493308932255,12.798544584077126
7,186,-0.19049600623940308,1.1488351325527295,2.827301315677248,-0.17365097364395896,0,0.5329775220555945,-0.21611808231326896,-0.157896685559591,0.5465107494410273,-0.15389014593785974,6.1726206733817826,0.938121733968652,1,0.36359065142371405,0.9640137662122904,11.774642675184008
8,363,-0.19049600623940308,-0.6292614545138064,-0.5660478560656216,-0.17365097364395896,0,-0.40556942412719804,-0.21611808231326896,-0.157896685559591,-0.4226370703781662,-0.6596886548007111,-0.22111331809394075,-0.45290879561350145,1,-0.6118964621521041,-0.4330046807227247,11.805413584604091
9,308,-0.19049600623940308,-0.24824075728526307,-0.40445980026834205,-0.17365097364395896,1,-0.6094059399239123,-0.21611808231326896,-0.546746732086942,-0.7394611851811725,-0.4637589713804251,-0.22111331809394075,-0.7304735644689748,0,-0.12415290536419504,-0.5990992481484281,11.597622920108106
10,328,-0.19049600623940308,-0.9467787022042593,-0.5660478560656216,-0.17365097364395896,1,-0.970638492525896,-0.21611808231326896,-0.6763634142627257,0.6160246774789715,-0.7004394209031,-0.22111331809394075,0.45704690060060754,0,-1.0183494261420283,-0.8934467272053492,12.605317734206377
11,1381,-0.19049600623940308,-0.6292614545138064,-0.40445980026834205,-0.17365097364395896,0,-0.9039181395614644,-0.21611808231326896,-0.0282800033838073,-0.28432120623576146,-0.7004394209031,-0.22111331809394075,-0.33173237921728543,1,-0.6118964621521041,-0.8390801770276104,11.559810737794605
12,932,-0.19049600623940308,-0.6292614545138064,-0.5660478560656216,1.1679334715652223,1,-0.8224150989314787,1.3515575803011044,-0.6763634142627257,-0.8992935761941833,-0.4223667882195846,-0.22111331809394075,-0.8703343255893299,0,-0.6118964621521041,-0.7726680711082881,10.646691083516012
13,1274,-0.19049600623940308,-0.31174420682335363,-0.08128368867378302,0.9762785508210536,0,2.0534625866036977,-0.21611808231326896,-0.4171300499111584,0.16962802095472962,4.571731694359569,-0.22111331809394075,0.06596560660552168,1,-0.20544349816217988,1.5707180404585674,10.084793933597624
14,204,-0.19049600623940308,-0.6292614545138064,-0.5660478560656216,-0.17365097364395896,1,-0.4920507630311922,-0.21611808231326896,-0.6763634142627257,-0.5235366633393526,-0.6124177661219399,-0.22111331809394075,-0.5413053882002008,0,-0.6118964621521041,-0.5034733134871301,12.125162724622182
15,550,-0.19049600623940308,-0.43875110589953475,-0.5660478560656216,-0.17365097364395896,1,0.1118181580667825,-0.21611808231326896,-0.6763634142627257,0.05456966341882714,0.5927453905901101,-0.22111331809394075,-0.03483526341095518,0,-0.36802468375814956,-0.01141551491475519,11.983359908024703
16,1116,2.002534287749258,2.8634282700811746,2.665713259879969,-0.17365097364395896,0,1.0530555387028782,-0.21611808231326896,1.915970229252948,0.5823731645083713,0.3658451249320086,7.214241189133571,0.6224564539293759,1,2.8023084353632592,1.006923173732028,9.425003046110662
17,469,-0.19049600623940308,-0.1847373077471725,-0.08128368867378302,-0.17365097364395896,0,0.9035375194650682,-0.21611808231326896,-0.6763634142627257,0.6972878172503597,1.1022114684021764,-0.22111331809394075,0.5282402964099513,1,-0.042862312566210196,0.6337107243168227,11.885351973895588
18,262,-0.19049600623940308,-0.1847373077471725,-0.5660478560656216,-0.17365097364395896,1,-0.3593754169516296,-0.21611808231326896,-0.546746732086942,0.14827517922371583,0.2521504875063435,-0.22111331809394075,0.04725870803764756,0,-0.042862312566210196,-0.3953638605316176,11.745994038128337
19,1572,-0.17194904074500464,0.9583247839384577,-0.40445980026834205,0.0180039471002098,1,0.9267715959750153,5.1564492902354395,2.564053640131866,2.257070024805198,0.2555735518589442,-0.22111331809394075,1.898671087673148,0,1.420368357797517,0.652642827195308,10.32439206610465
20,661,-0.19049600623940308,-0.3752476563614442,-0.40445980026834205,-0.17365097364395896,1,-0.805709498695394,-0.21611808231326896,0.23095336096776006,-0.51506614948417,0.11457590114467854,-0.22111331809394075,-0.5312130480655388,0,-0.36802468375814956,-0.40671248149516126,11.298017812918202
